C_NUM,COUNTRY_NAME,HALE_ALL,UNIV_CARE,WBANK_INCOME,HALE_2000,BIRTHS_ATTEND,IHR_CORE_CAP,AVG_TEMPC,FEMALE_22,RURAL_22,COVID_VAX100,WHO_REGION,ISO_ALPHA3
60,Fiji,57.7,no,Upper-middle,58.1,100,55,24.68,49.86,41.77,68.96,Western Pacific,FJI
61,Finland,69.9,yes,High,67.8,100,84,2.46,50.59,14.32,78.46,European,FIN
62,France,70.1,yes,High,69.3,98,86,11.65,51.67,18.49,78.44,European,FRA
63,Gabon,56.3,no,Upper-middle,50.5,95,47,25.2,49.12,9.27,10.78,African,GAB
64,Gambia,55.8,no,Low,51.7,84,54,28.38,50.25,36.15,19.93,African,GMB
65,Georgia,62.5,yes,Upper-middle,61.9,100,72,9.01,53,39.7,34.08,European,GEO
66,Germany,68.9,yes,High,68.5,96,85,9.59,50.66,22.35,76.24,European,DEU
67,Ghana,57.9,yes,Lower-middle,51.9,88,56,27.66,50.13,41.39,32.2,African,GHA
68,Greece,68.6,yes,High,68.6,100,60,14.26,51.06,19.64,73.64,European,GRC
69,Grenada,63.2,no,Upper-middle,63.6,100,52,26.49,50,63.13,31.11,Americas,GRD
70,Guatemala,59.3,no,Upper-middle,57.8,70,32,23.65,50.51,47.33,39.94,Americas,GTM
71,Guinea,53.4,no,Low,47.5,55,50,25.86,50.55,62.33,42.24,African,GIN
72,Guinea-Bissau,51.5,no,Low,44,54,43,27.98,50.61,54.96,26.01,African,GNB
73,Guyana,56.8,no,Upper-middle,55,98,31,26.12,51.04,72.98,47.23,Americas,GUY
74,Haiti,53.9,no,Lower-middle,50,42,54,24.95,50.46,41.18,3.16,Americas,HTI
75,Honduras,60,no,Lower-middle,61.2,94,58,24.72,49.51,40.4,56.11,Americas,HND
76,Hungary,64.8,no,High,63,100,71,11.5,51.99,27.45,62.28,European,HUN
77,Iceland,71.4,yes,High,69.8,97,74,1.85,48.74,6.01,77.82,European,ISL
78,India,58.1,yes,Lower-middle,52.9,89,86,24.94,48.41,64.13,67.18,Southeast Asian,IND
79,Indonesia,60.7,yes,Lower-middle,59,96,75,25.96,49.65,42.07,63.51,Southeast Asian,IDN
80,Iran (Islamic Republic of),64,no,Lower-middle,62.6,99,81,18.34,49.5,23.19,66.16,Eastern Mediterranean,IRN
81,Iraq,61,no,Upper-middle,59.5,96,46,22.95,49.9,28.65,17.85,Eastern Mediterranean,IRQ
82,Ireland,70,yes,High,67.1,100,70,9.73,50.44,35.82,80.94,European,IRL
83,Israel,70.8,yes,High,69.2,NA,86,19.99,50.12,7.24,65.19,European,ISR
84,Italy,70.6,yes,High,69,99,71,13.22,51.24,28.34,81.21,European,ITA
85,Jamaica,61.7,no,Upper-middle,65.4,100,78,25.91,50.4,42.99,26.88,Americas,JAM
86,Japan,73.4,yes,High,71.6,100,99,11.78,51.4,8.05,83.4,Western Pacific,JPN
87,Jordan,65.1,no,Upper-middle,63.6,100,64,19.52,48.19,8.17,40.39,Eastern Mediterranean,JOR
88,Kazakhstan,61.6,no,Upper-middle,56.1,100,67,7.11,51.88,42.01,54.79,European,KAZ
89,Kenya,58.2,no,Lower-middle,46.9,89,54,25.08,50.44,71,20.53,African,KEN
90,Kiribati,53.6,no,Lower-middle,49.6,92,40,27.77,51.27,42.94,62.08,Western Pacific,KIR
91,Kuwait,67.8,yes,High,67.7,99,94,26.31,39.19,0,78.39,Eastern Mediterranean,KWT
92,Kyrgyzstan,63.4,no,Lower-middle,58.7,100,48,2.65,50.9,62.54,21.2,European,KGZ
93,Lao People's Democratic Republic,60.4,no,Lower-middle,51.8,64,55,24.16,49.6,62.41,69.36,Western Pacific,LAO
94,Latvia,63.8,no,High,61.6,98,68,6.87,53.62,31.46,70.57,European,LVA
95,Lebanon,63.2,no,Lower-middle,64.7,NA,70,15.45,51.5,10.74,43.98,Eastern Mediterranean,LBN
96,Lesotho,44.6,no,Lower-middle,42,87,40,12.38,50.67,70.06,40.68,African,LSO
97,Liberia,54,no,Low,45.8,84,42,25.45,50.2,46.94,70.36,African,LBR
98,Libya,62.1,no,Upper-middle,64.6,NA,53,22.81,49.4,18.7,18.15,Eastern Mediterranean,LBY
99,Lithuania,64.2,no,High,63.1,100,86,7.38,53.03,31.54,68.4,European,LTU
100,Luxembourg,71.2,yes,High,68.3,NA,67,10.02,49.67,8.12,71.45,European,LUX
101,Madagascar,55.1,no,Low,51.3,46,53,22.64,49.9,60.12,8.88,African,MDG
102,Malawi,54.7,no,Low,39.1,96,61,22.66,51.36,82.02,21.01,African,MWI
