C_NUM,COUNTRY_NAME,ISO_ALPHA3,UHC_INDEX,UNIV_CARE,GDP_PERCAP,WHO_REGION
46,Democratic People's Republic of Korea,PRK,68,yes,NA,Southeast Asian
47,Democratic Republic of the Congo,COD,42,no,654,African
48,Denmark,DNK,82,yes,67790,European
49,Djibouti,DJI,44,no,3136,Eastern Mediterranean
50,Dominica,DMA,49,no,8351,Americas
51,Dominican Republic,DOM,77,no,10111,Americas
52,Ecuador,ECU,77,no,6391,Americas
53,Egypt,EGY,70,yes,4295,Eastern Mediterranean
54,El Salvador,SLV,78,no,5127,Americas
55,Equatorial Guinea,GNQ,46,no,7182,African
56,Eritrea,ERI,45,no,NA,African
57,Estonia,EST,79,no,28247,European
58,Eswatini,SWZ,56,no,3987,African
59,Ethiopia,ETH,35,no,1028,African
60,Fiji,FJI,58,no,5356,Western Pacific
61,Finland,FIN,86,yes,50872,European
62,France,FRA,85,yes,40886,European
63,Gabon,GAB,49,no,8820,African
64,Gambia,GMB,46,no,808,African
65,Georgia,GEO,68,yes,6675,European
66,Germany,DEU,88,yes,48718,European
67,Ghana,GHA,48,yes,2204,African
68,Greece,GRC,77,yes,20867,European
69,Grenada,GRD,70,no,9689,Americas
70,Guatemala,GTM,59,no,5473,Americas
71,Guinea,GIN,40,no,1515,African
72,Guinea-Bissau,GNB,37,no,776,African
73,Guyana,GUY,76,no,18199,Americas
74,Haiti,HTI,54,no,1748,Americas
75,Honduras,HND,64,no,3040,Americas
76,Hungary,HUN,79,no,18390,European
77,Iceland,ISL,89,yes,73467,European
78,India,IND,63,yes,2411,Southeast Asian
79,Indonesia,IDN,55,yes,4788,Southeast Asian
